n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms,total_train_time_s
212,-20.0,-16.94,-12.0,2184.56,8666.977,9.845089197158813
213,-20.0,-16.91,-12.0,2190.75,8657.326,9.915249347686768
214,-20.0,-16.84,-12.0,2200.59,8693.295,10.157139301300049
215,-20.0,-16.79,-12.0,2214.92,8742.91,10.62916374206543
216,-20.0,-16.74,-12.0,2219.14,8761.183,9.793489933013916
217,-20.0,-16.74,-12.0,2218.08,8773.613,10.302534103393555
218,-20.0,-16.65,-12.0,2228.0,8829.774,9.847877502441406
219,-20.0,-16.56,-12.0,2240.63,8839.82,10.507747411727905
220,-20.0,-16.56,-12.0,2240.63,8664.538,9.345368385314941
221,-20.0,-16.39,-10.0,2260.54,8718.302,10.977946043014526
222,-20.0,-16.39,-10.0,2260.54,8845.899,11.120060205459595
223,-20.0,-16.3,-10.0,2270.0,8882.978,10.28115963935852
224,-20.0,-16.23,-10.0,2279.08,8997.641,11.309540271759033
225,-20.0,-16.23,-10.0,2279.08,9005.7,10.717978954315186
226,-20.0,-16.18,-10.0,2287.56,9092.673,10.705936908721924
227,-20.0,-16.17,-10.0,2289.87,8914.478,8.569786548614502
228,-20.0,-16.11,-10.0,2293.65,8872.463,9.472582817077637
229,-20.0,-16.09,-10.0,2299.46,8762.087,9.475402593612671
230,-20.0,-16.11,-10.0,2294.04,8808.276,9.81467342376709
231,-20.0,-16.14,-10.0,2292.29,8599.247,8.886993169784546
232,-20.0,-16.14,-10.0,2292.29,8543.968,10.57002592086792
233,-20.0,-16.04,-10.0,2312.06,8535.08,10.134389638900757
234,-20.0,-16.0,-10.0,2315.65,8435.679,10.44667673110962
235,-20.0,-15.96,-10.0,2317.75,8549.246,11.836146354675293
236,-20.0,-15.85,-10.0,2343.67,8589.921,11.121886014938354
237,-20.0,-15.85,-10.0,2343.67,8831.456,10.965444803237915
238,-20.0,-15.83,-10.0,2341.07,8938.668,10.523709297180176
239,-20.0,-15.8,-10.0,2344.84,8948.297,9.531698226928711
240,-20.0,-15.75,-10.0,2353.2,9085.342,11.169800996780396
241,-20.0,-15.72,-10.0,2359.99,9211.431,10.128016948699951
242,-20.0,-15.65,-10.0,2372.38,9106.862,9.529266834259033
243,-20.0,-15.55,-10.0,2388.25,9145.31,10.607776403427124
244,-20.0,-15.58,-10.0,2390.38,9194.008,10.774778842926025
245,-20.0,-15.58,-10.0,2388.46,8920.061,9.116978168487549
246,-20.0,-15.51,-10.0,2407.17,8768.856,9.63323712348938
247,-20.0,-15.5,-10.0,2411.56,8683.154,10.094624519348145
248,-20.0,-15.5,-10.0,2411.56,8848.285,12.19551968574524
249,-20.0,-15.45,-10.0,2421.95,9171.245,12.764298915863037
250,-20.0,-15.43,-10.0,2421.02,9066.405,10.092993021011353
251,-20.0,-15.4,-10.0,2422.52,9036.136,9.787730693817139
252,-20.0,-15.36,-10.0,2430.53,9260.084,11.735072612762451
253,-20.0,-15.28,-10.0,2439.0,9212.899,10.083702325820923
254,-20.0,-15.24,-10.0,2441.59,9037.012,9.004971742630005
255,-20.0,-15.25,-10.0,2444.96,9058.316,9.303470611572266
256,-20.0,-15.23,-10.0,2450.88,9096.329,9.93054723739624
257,-20.0,-15.19,-10.0,2454.8,9109.85,10.261473655700684
258,-20.0,-15.16,-10.0,2456.72,9083.948,11.937558650970459
259,-20.0,-15.11,-10.0,2463.77,8911.672,10.994415044784546
260,-20.0,-15.09,-10.0,2473.72,9057.032,11.571372032165527
261,-20.0,-15.02,-10.0,2489.23,9074.979,10.036186933517456
262,-20.0,-15.02,-10.0,2489.23,8948.763,10.53997802734375
263,-20.0,-14.98,-10.0,2498.06,8971.397,10.298712730407715
264,-20.0,-14.97,-10.0,2495.9,9247.215,11.80620789527893
265,-20.0,-14.95,-10.0,2495.18,9233.688,9.148488759994507
266,-20.0,-14.89,-10.0,2508.31,9302.814,10.717316389083862
267,-20.0,-14.89,-10.0,2508.31,9258.594,9.786901950836182
268,-20.0,-14.85,-10.0,2519.67,8987.917,9.228150367736816
269,-20.0,-14.87,-10.0,2520.48,8934.601,10.50350832939148
270,-20.0,-14.87,-10.0,2520.48,8817.789,10.422443151473999
271,-20.0,-14.76,-10.0,2534.34,8895.114,10.771717309951782
272,-20.0,-14.76,-10.0,2534.34,8853.029,10.05480670928955
273,-20.0,-14.7,-10.0,2538.62,8914.174,10.87763524055481
274,-20.0,-14.55,-10.0,2548.05,8743.785,10.086690664291382
275,-20.0,-14.57,-10.0,2546.73,8921.403,10.94710087776184
276,-20.0,-14.54,-10.0,2548.13,8970.804,11.176507711410522
277,-20.0,-14.5,-10.0,2558.06,9080.027,10.910896301269531
278,-20.0,-14.55,-10.0,2552.97,9231.898,10.739728927612305
279,-20.0,-14.52,-10.0,2560.31,9205.286,10.248814344406128
280,-20.0,-14.51,-10.0,2563.63,9201.348,10.370925426483154
281,-20.0,-14.54,-10.0,2563.33,9298.182,11.72912073135376
282,-20.0,-14.58,-10.0,2570.57,9288.948,10.006722450256348
283,-20.0,-14.58,-10.0,2570.57,9275.367,10.756044387817383
284,-20.0,-14.65,-10.0,2569.7,9366.803,10.988568305969238
285,-20.0,-14.66,-10.0,2573.14,9253.471,9.803945541381836
286,-20.0,-14.66,-10.0,2573.14,9194.046,10.585050582885742
287,-20.0,-14.68,-10.0,2582.49,9067.543,9.678919076919556
288,-20.0,-14.6,-10.0,2590.33,8935.02,9.408998250961304
289,-20.0,-14.6,-10.0,2590.33,8963.548,10.55105972290039
290,-20.0,-14.58,-10.0,2596.03,9028.164,11.042009115219116
291,-20.0,-14.64,-10.0,2596.42,8642.911,7.853309154510498
292,-20.0,-14.64,-10.0,2596.42,8735.909,10.948187589645386
293,-20.0,-14.53,-10.0,2618.52,8752.786,10.942943572998047
294,-20.0,-14.53,-10.0,2618.52,8564.735,9.151854753494263
295,-20.0,-14.56,-10.0,2612.76,8626.264,10.49519658088684
296,-20.0,-14.44,-10.0,2626.85,8553.208,9.819750308990479
297,-20.0,-14.38,-10.0,2637.25,8558.632,9.680573463439941
298,-20.0,-14.39,-10.0,2635.84,8472.216,8.568904638290405
299,-20.0,-14.35,-10.0,2639.43,8260.337,8.40606689453125
300,-20.0,-14.38,-10.0,2641.81,8180.41,10.250046253204346
301,-20.0,-14.33,-10.0,2650.71,8456.549,10.681716918945312
302,-20.0,-14.36,-10.0,2647.71,8394.768,10.322989225387573
303,-20.0,-14.38,-10.0,2642.97,8346.517,10.454258441925049
304,-20.0,-14.33,-10.0,2652.72,8457.748,10.242702722549438
305,-20.0,-14.34,-10.0,2655.3,8332.156,9.264191389083862
306,-20.0,-14.35,-10.0,2652.15,8365.292,10.156524896621704
307,-20.0,-14.33,-10.0,2657.84,8380.718,9.874309539794922
308,-20.0,-14.35,-10.0,2653.24,8583.731,10.55078935623169
309,-20.0,-14.35,-10.0,2653.24,8831.433,10.850806951522827
310,-20.0,-14.3,-10.0,2663.48,8868.961,10.60343050956726
311,-20.0,-14.3,-10.0,2663.48,8982.402,11.782905101776123
312,-20.0,-14.3,-10.0,2663.48,8956.045,10.027427911758423
313,-20.0,-14.26,-10.0,2677.51,8894.3,9.88948678970337
314,-20.0,-14.26,-10.0,2677.51,8967.915,10.986461639404297
315,-20.0,-14.27,-10.0,2684.72,9129.39,10.78426194190979
316,-20.0,-14.09,-9.0,2704.22,9189.732,10.794628620147705
317,-20.0,-14.09,-9.0,2704.22,9257.93,10.481147289276123
318,-20.0,-14.09,-9.0,2703.8,9126.24,9.245732545852661
319,-20.0,-14.09,-9.0,2707.61,9096.33,10.586799621582031
320,-20.0,-14.09,-9.0,2707.61,9067.518,10.271280765533447
321,-20.0,-14.07,-9.0,2722.0,9028.139,11.414536476135254
322,-20.0,-14.04,-9.0,2725.75,9069.542,10.433921813964844
323,-20.0,-14.02,-9.0,2727.93,9108.637,10.215041875839233
324,-20.0,-14.0,-9.0,2722.71,9025.775,10.114604949951172
325,-20.0,-13.97,-9.0,2725.06,8804.644,8.589466333389282
326,-20.0,-14.02,-9.0,2719.69,8654.273,9.296679496765137
327,-20.0,-14.01,-9.0,2725.06,8546.019,9.42688798904419
328,-20.0,-13.95,-9.0,2730.02,8742.598,11.24661636352539
329,-20.0,-13.97,-9.0,2731.04,8652.2,9.664109706878662
330,-20.0,-13.94,-9.0,2743.87,8703.116,10.777072668075562
331,-20.0,-13.94,-9.0,2743.87,8603.527,10.385079860687256
332,-20.0,-13.94,-9.0,2743.87,8485.451,9.27521014213562
333,-20.0,-13.86,-9.0,2774.29,8477.239,10.166171550750732
334,-20.0,-13.86,-9.0,2774.29,8622.637,11.555346488952637
335,-20.0,-13.88,-9.0,2773.94,8800.398,10.389662981033325
336,-20.0,-13.85,-9.0,2779.2,8821.112,9.493017435073853
